Date,Price,Open,High,Low,Vol.,Change,Sector,value
2020-09-21,7.18,7.18,7.18,6.99,0.44K,2.72,assurance,TRE
2020-09-21,1.01,0.99,1.01,0.97,38.97K,2.02,other,SOMOC
2020-09-21,4.99,4.99,5.04,4.91,8.11K,-0.2,other,STPAP
2020-09-21,1.38,1.36,1.39,1.36,6.08K,0.0,other,SOPAT
2020-09-21,5.48,5.48,5.48,5.42,6.75K,-0.72,leasing,STVR
2020-09-21,10.8,10.85,10.85,10.6,0.52K,0.0,other,NAKL
2020-09-21,57.2,57.21,58.4,57.2,4.15K,-2.05,other,ICF
2020-09-21,6.4,6.3,6.4,6.3,1.04K,-0.78,other,MNP
2020-09-21,14.75,14.89,14.89,14.75,1.21K,-1.01,other,DH
2020-09-21,10.3,10.6,10.6,10.3,3.54K,-2.37,other,UMED
2020-09-21,3.49,3.49,3.49,3.49,0.02K,0.0,assurance,HANL
2020-09-21,4.3,4.3,4.3,4.3,0.63K,0.0,other,NBL
2020-09-21,8.94,8.77,8.98,8.77,0.09K,-0.45,bank,BNA
2020-09-21,4.89,5.0,5.0,4.89,0.03K,-0.81,leasing,SOTE
2020-09-21,1.75,1.8,1.8,1.75,12.45K,-0.57,assurance,ATL
2020-09-21,8.1,8.2,8.27,8.03,2.58K,-0.65,leasing,OTH
2020-09-21,5.23,5.39,5.39,5.23,1.27K,-0.95,other,CELL
2020-09-21,5.61,5.73,5.73,5.61,20.69K,-2.04,bank,BT
2020-09-21,3.45,3.55,3.58,3.45,4.29K,-2.82,other,TPR
2020-09-21,1.54,1.58,1.58,1.54,167.10K,-3.14,other,CC
2020-09-21,7.15,7.04,7.2,7.04,25.56K,-0.69,other,CITY
2020-09-21,2.9,2.86,2.9,2.85,3.03K,0.0,other,SAMAA
2020-09-21,12.1,12.15,12.15,12.0,5.26K,-0.74,other,STPIL
2020-09-21,3.43,3.5,3.5,3.4,9.53K,-2.0,bank,STB
2020-09-21,9.21,9.21,9.21,9.21,0.06K,-2.95,assurance,TLS
2020-09-21,24.25,24.25,24.25,24.25,0.05K,-3.0,other,SMG
2020-09-21,8.88,8.84,8.9,8.8,14.98K,-1.33,leasing,TLNET
2020-09-21,1.34,1.34,1.34,1.34,2.58K,2.29,other,LSTR
2020-09-21,0.8,0.81,0.85,0.8,45.89K,-5.88,other,GIF
2020-09-21,2.3,2.31,2.35,2.24,24.72K,0.66,other,ASSAD
2020-09-21,19.35,19.4,19.5,19.3,10.88K,0.0,other,SFBT
2020-09-21,0.62,0.62,0.63,0.62,15.75K,0.0,other,TAIR
2020-09-21,24.2,24.2,24.4,23.91,2.83K,-1.79,bank,BS
2020-09-21,2.9,2.81,2.9,2.81,2.19K,0.31,leasing,SIAM
2020-09-21,22.45,22.5,22.5,22.27,10.57K,-0.24,other,ECYCL
2020-09-21,4.57,4.71,4.71,4.57,0.00K,-5.77,assurance,TINV
2020-09-21,4.0,4.0,4.0,3.9,7.58K,1.52,other,ARTES
2020-09-21,6.9,6.88,6.98,6.68,1.41K,0.29,other,LNDOR
2020-09-21,4.84,4.84,4.84,4.84,0.00K,2.98,other,SIPHA
2020-09-21,24.25,24.25,24.25,24.25,0.05K,-3.0,other,SMG
2020-09-21,10.5,10.65,10.72,10.47,53.29K,-1.4,other,SAH
2020-09-21,0.45,0.44,0.45,0.44,5.70K,2.27,leasing,AETEC
2020-09-21,2.01,1.99,2.04,1.94,49.38K,2.55,leasing,SERVI
2020-09-21,1.39,1.42,1.42,1.39,0.32K,-1.42,assurance,BHL
2020-09-21,1.39,1.4,1.4,1.36,5.45K,-0.71,other,UADH
2020-09-21,10.67,10.49,10.74,10.4,1.70K,1.62,other,POULA
2020-09-22,24.9,24.9,24.9,24.9,0.05K,2.68,other,SMG
2020-09-22,2.9,2.9,2.9,2.9,0.00K,0.0,other,SAMAA
2020-09-22,0.63,0.62,0.63,0.62,22.55K,1.61,other,TAIR
2020-09-22,25.13,24.4,25.13,24.4,0.14K,3.84,bank,BS
2020-09-22,1.53,1.46,1.53,1.45,347.60K,-0.65,other,CC
2020-09-22,7.1,7.2,7.4,7.1,3.38K,-0.7,other,CITY
2020-09-22,3.46,3.46,3.49,3.46,4.24K,0.29,other,TPR
2020-09-22,1.04,1.03,1.04,1.0,36.82K,2.97,other,SOMOC
2020-09-22,4.58,4.57,4.58,4.57,2.00K,0.22,assurance,TINV
2020-09-22,19.2,19.35,19.35,19.12,14.19K,-0.78,other,SFBT
2020-09-22,1.67,1.72,1.73,1.67,10.02K,-4.57,assurance,ATL
2020-09-22,1.4,1.39,1.4,1.35,19.60K,0.72,other,UADH
2020-09-22,1.621,1.621,1.621,1.621,1.44K,-2.29,other,PLAST
2020-09-22,58.7,58.91,58.91,58.5,0.16K,2.62,other,ICF
2020-09-22,10.31,10.3,10.44,10.25,4.80K,0.1,other,UMED
2020-09-22,4.75,4.75,4.75,4.75,0.61K,-2.86,leasing,SOTE
2020-09-22,3.3,3.3,3.4,3.3,0.93K,-2.94,other,MPBS
2020-09-22,10.47,10.51,10.51,10.36,5.80K,-1.87,other,POULA
2020-09-22,10.5,10.5,10.54,10.38,49.21K,0.0,other,SAH
2020-09-22,5.02,5.0,5.02,4.95,29.84K,0.6,other,STPAP
2020-09-22,5.22,5.17,5.22,5.17,0.15K,-0.19,other,CELL
2020-09-22,54.07,52.5,54.07,52.5,0.28K,2.99,assurance,BHASS
2020-09-22,3.5,3.45,3.5,3.38,9.48K,2.04,bank,STB
2020-09-22,12.29,12.15,12.29,12.15,0.01K,1.57,other,STPIL
2020-09-22,1.39,1.39,1.39,1.39,0.12K,0.0,assurance,BHL
2020-09-22,6.89,6.7,6.89,6.7,1.26K,-0.14,other,LNDOR
2020-09-22,8.87,8.8,8.87,8.74,67.90K,-0.11,leasing,TLNET
2020-09-22,8.93,8.94,8.94,8.93,0.15K,-0.11,bank,BNA
2020-09-22,71.4,71.4,71.4,71.4,0.00K,0.69,other,AL
2020-09-22,10.85,10.8,10.85,10.5,2.98K,0.46,other,NAKL
