Date,Price,Open,High,Low,Vol.,Change %,Sector,value,Variance,Return,Volatility,Skewness,Kurtosis,Q1,Q3,Min,Max,Stock_Return,Beta,segmentation
2020-09-21,6.4,6.3,6.4,6.3,1040.0,-0.78,other,MNP,447.8210454738876,-0.78,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.8881118881118881,20.003027879423918,B
2020-09-21,3.45,3.55,3.58,3.45,4290.0,-2.82,other,TPR,447.8210454738876,-2.82,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.3850267379679144,-1.1100409827972462,B
2020-09-21,22.45,22.5,22.5,22.27,10570.0,-0.24,other,ECYCL,447.8210454738876,-0.24,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,6.741379310344827,-82.21968524077424,A
2020-09-21,4.0,4.0,4.0,3.9,7580.0,1.52,other,ARTES,447.8210454738876,1.52,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.12472647702407003,11.582660990095551,B
2020-09-22,3.46,3.46,3.49,3.46,4240.0,0.29,other,TPR,447.8210454738876,0.29,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.5126760563380282,-1.1100409827972462,B
2020-09-22,54.07,52.5,54.07,52.5,280.0,2.99,assurance,BHASS,447.8210454738876,2.99,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,9.35823754789272,-593.6123624725303,B
2020-09-22,6.4,6.3,6.4,6.3,5380.0,0.0,other,MNP,447.8210454738876,0.0,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.41013824884792627,20.003027879423918,B
2020-09-22,22.25,22.45,22.45,22.09,12650.0,-0.85,other,ECYCL,447.8210454738876,-0.85,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,2.4765625,-82.21968524077424,A
2020-09-22,4.11,4.12,4.12,4.0,18250.0,2.75,other,ARTES,447.8210454738876,2.75,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,1.9782608695652177,11.582660990095551,B
2020-09-23,4.09,4.1,4.1,3.99,9720.0,-0.49,other,ARTES,447.8210454738876,-0.49,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.9318333333333333,11.582660990095551,B
2020-09-23,113.01,116.5,116.5,113.01,30.0,-5.82,assurance,STAR,447.8210454738876,-5.82,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,80.8913043478261,-1317.4119804130596,A
2020-09-23,6.45,6.44,6.45,6.44,220.0,0.78,other,MNP,447.8210454738876,0.78,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.7403381642512077,20.003027879423918,B
2020-09-23,22.41,21.91,22.55,21.91,6830.0,0.69,other,ECYCL,447.8210454738876,0.69,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,6.863157894736842,-82.21968524077424,A
2020-09-23,3.45,3.5,3.5,3.45,14450.0,-0.29,other,TPR,447.8210454738876,-0.29,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.54,-1.1100409827972462,B
2020-09-23,53.0,54.1,54.1,53.0,450.0,-1.98,assurance,BHASS,447.8210454738876,-1.98,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,1.0167427701674274,-593.6123624725303,B
2020-09-24,56.22,54.59,56.22,54.59,10.0,6.08,assurance,BHASS,447.8210454738876,6.08,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,37.244897959183675,-593.6123624725303,B
2020-09-24,4.08,4.0,4.08,4.0,4950.0,-0.24,other,ARTES,447.8210454738876,-0.24,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,1.0923076923076924,11.582660990095551,B
2020-09-24,22.19,22.36,22.56,22.19,7390.0,-0.97,other,ECYCL,447.8210454738876,-0.97,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,10.095,-82.21968524077424,A
2020-09-24,6.6,6.6,6.6,6.6,90.0,2.33,other,MNP,447.8210454738876,2.33,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.261744966442953,20.003027879423918,B
2020-09-24,3.53,3.54,3.55,3.53,3200.0,2.32,other,TPR,447.8210454738876,2.32,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.33895131086142327,-1.1100409827972462,B
2020-09-25,6.41,6.41,6.41,6.41,1010.0,-2.88,other,MNP,447.8210454738876,-2.88,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,0.8158640226628897,20.003027879423918,B
2020-09-25,22.27,22.19,22.45,22.19,12960.0,0.37,other,ECYCL,447.8210454738876,0.37,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,41.0188679245283,-82.21968524077424,A
2020-09-25,4.02,4.02,4.03,4.02,7700.0,-1.47,other,ARTES,447.8210454738876,-1.47,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,0.7709251101321584,11.582660990095551,B
2020-09-25,119.89,116.4,119.89,116.4,80.0,6.09,assurance,STAR,447.8210454738876,6.09,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,25.40748898678414,-1317.4119804130596,A
2020-09-25,3.47,3.52,3.53,3.47,3150.0,-1.7,other,TPR,447.8210454738876,-1.7,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.2947154471544715,-1.1100409827972462,B
2020-09-28,6.41,6.41,6.41,6.41,550.0,0.0,other,MNP,447.8210454738876,0.0,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,0.8964497041420119,20.003027879423918,B
2020-09-28,22.55,22.23,22.64,22.22,16610.0,1.22,other,ECYCL,447.8210454738876,1.22,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,4.0,-82.21968524077424,A
2020-09-28,3.58,3.55,3.6,3.55,1600.0,3.17,other,TPR,447.8210454738876,3.17,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.8412416851441242,-1.1100409827972462,B
2020-09-28,56.17,56.17,56.17,56.17,0.0,-0.09,assurance,BHASS,447.8210454738876,-0.09,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,26.004807692307693,-593.6123624725303,B
2020-09-28,119.0,119.0,119.0,119.0,100.0,-0.74,assurance,STAR,447.8210454738876,-0.74,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,83.39716312056738,-1317.4119804130596,A
2020-09-28,4.08,4.02,4.08,4.0,4090.0,1.49,other,ARTES,447.8210454738876,1.49,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,-0.5992141453831041,11.582660990095551,B
2020-09-29,22.48,22.55,22.55,22.19,6980.0,-0.28,other,ECYCL,447.8210454738876,-0.28,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,15.1726618705036,-82.21968524077424,A
2020-09-29,3.65,3.71,3.71,3.58,10080.0,1.96,other,TPR,447.8210454738876,1.96,21.16178266294897,3.723486901186777,15.877718956215617,2.91,12.64,0.11,174.9,1.1470588235294117,-1.1100409827972462,B
