Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2023-09-20,11.61,11.61,11.61,11.61,,-4.52,bank,BH
2023-09-19,12.16,12.2,12.2,11.8,0.31K,-2.25,bank,BH
2023-09-18,12.44,12.44,12.44,12.44,0.05K,0.0,bank,BH
2023-09-15,12.44,12.44,12.44,12.44,0.01K,1.97,bank,BH
2023-09-14,12.2,12.2,12.2,12.2,0.01K,-2.4,bank,BH
2023-09-13,12.5,12.5,12.5,12.5,0.00K,4.17,bank,BH
2023-09-12,12.0,12.29,12.29,12.0,4.32K,-2.83,bank,BH
2023-09-11,12.35,12.32,12.35,12.32,0.20K,0.24,bank,BH
2023-09-08,12.32,11.9,12.32,11.9,0.41K,-1.83,bank,BH
2023-09-07,12.55,12.55,12.55,12.55,0.00K,-1.95,bank,BH
2023-09-06,12.8,12.8,12.8,12.8,0.15K,0.0,bank,BH
2023-09-05,12.8,12.74,12.8,12.74,0.00K,-1.46,bank,BH
2023-09-04,12.99,12.99,12.99,12.99,0.01K,-0.08,bank,BH
2023-09-01,13.0,13.0,13.0,13.0,0.05K,2.04,bank,BH
2023-08-31,12.74,13.04,13.04,12.74,0.34K,-2.75,bank,BH
2023-08-30,13.1,13.15,13.15,13.1,0.06K,-0.38,bank,BH
2023-08-29,13.15,13.02,13.18,13.0,1.34K,-0.23,bank,BH
2023-08-28,13.18,13.2,13.2,13.02,2.21K,-0.6,bank,BH
2023-08-25,13.26,13.35,13.35,13.01,0.11K,0.45,bank,BH
2023-08-24,13.2,13.2,13.2,13.2,1.24K,0.0,bank,BH
2023-08-23,13.2,13.35,13.35,13.2,6.29K,-1.79,bank,BH
2023-08-22,13.44,13.44,13.44,13.44,0.00K,0.37,bank,BH
2023-08-21,13.39,13.0,13.39,13.0,0.18K,-0.45,bank,BH
2023-08-18,13.45,13.45,13.45,13.45,0.01K,-0.37,bank,BH
2023-08-17,13.5,13.53,13.53,13.5,4.72K,-2.24,bank,BH
2023-08-16,13.81,13.81,13.81,13.81,0.00K,-0.07,bank,BH
2023-08-15,13.82,13.54,13.82,13.53,0.62K,0.22,bank,BH
2023-08-14,13.79,13.9,13.9,13.79,0.06K,0.0,bank,BH
2023-08-11,13.79,13.79,13.79,13.79,0.01K,0.07,bank,BH
2023-08-10,13.78,13.78,13.78,13.78,2.18K,-0.14,bank,BH
2023-08-09,13.8,13.75,13.8,13.75,2.29K,0.36,bank,BH
2023-08-08,13.75,13.74,13.8,13.74,100.02K,0.0,bank,BH
2023-08-07,13.75,13.62,13.75,13.62,0.78K,0.15,bank,BH
2023-08-04,13.73,13.52,13.73,13.52,0.58K,0.0,bank,BH
2023-08-03,13.73,13.61,13.73,13.61,0.52K,0.88,bank,BH
2023-08-02,13.61,13.61,13.75,13.61,1.52K,-1.02,bank,BH
2023-08-01,13.75,13.51,13.75,13.51,0.57K,0.0,bank,BH
2023-07-31,13.75,13.56,13.75,13.56,0.18K,0.36,bank,BH
2023-07-28,13.7,13.48,13.7,13.48,0.05K,0.0,bank,BH
2023-07-27,13.7,13.52,13.78,13.52,6.13K,-0.58,bank,BH
2023-07-26,13.78,13.52,13.78,13.52,0.20K,0.0,bank,BH
2023-07-24,13.78,13.7,13.78,13.7,0.13K,-0.43,bank,BH
2023-07-21,13.84,13.84,13.84,13.84,0.14K,-0.07,bank,BH
2023-07-20,13.85,13.43,13.85,13.43,1.93K,1.09,bank,BH
2023-07-18,13.7,13.42,13.7,13.42,1.64K,-1.01,bank,BH
2023-07-17,13.84,13.78,13.84,13.78,0.05K,-0.07,bank,BH
