Date,Price,Open,High,Low,Vol.,Change %,Sector,value
2023-09-20,5.8,5.8,5.8,5.8,0.29K,0.0,other,ARTES
2023-09-19,5.8,5.75,5.85,5.7,1.90K,0.0,other,ARTES
2023-09-18,5.8,5.9,5.9,5.8,4.15K,-1.69,other,ARTES
2023-09-15,5.9,5.85,5.9,5.85,0.02K,0.0,other,ARTES
2023-09-14,5.9,5.85,5.9,5.82,7.22K,-0.84,other,ARTES
2023-09-13,5.95,5.85,5.95,5.8,4.72K,-0.67,other,ARTES
2023-09-12,5.99,5.96,5.99,5.85,4.79K,0.0,other,ARTES
2023-09-11,5.99,5.92,6.0,5.9,5.17K,-0.83,other,ARTES
2023-09-08,6.04,5.95,6.05,5.95,2.69K,-0.98,other,ARTES
2023-09-07,6.1,5.97,6.1,5.95,7.11K,-1.13,other,ARTES
2023-09-06,6.17,6.16,6.17,6.16,9.71K,-0.48,other,ARTES
2023-09-04,6.2,6.15,6.2,6.15,3.77K,-0.32,other,ARTES
2023-09-01,6.22,6.19,6.22,6.19,2.33K,-0.16,other,ARTES
2023-08-31,6.23,6.2,6.24,6.2,3.08K,0.81,other,ARTES
2023-08-30,6.18,6.05,6.18,6.0,4.10K,0.65,other,ARTES
2023-08-29,6.14,6.1,6.14,6.1,2.50K,0.0,other,ARTES
2023-08-28,6.14,6.0,6.14,5.9,2.38K,0.66,other,ARTES
2023-08-25,6.1,5.9,6.13,5.9,8.19K,3.21,other,ARTES
2023-08-24,5.91,5.9,5.95,5.9,7.52K,0.17,other,ARTES
2023-08-23,5.9,6.01,6.08,5.88,5.83K,-4.07,other,ARTES
2023-08-22,6.15,6.2,6.2,5.9,4.60K,-1.44,other,ARTES
2023-08-21,6.24,6.24,6.24,6.24,0.17K,0.0,other,ARTES
2023-08-18,6.24,6.27,6.27,6.24,1.86K,-13.81,other,ARTES
2023-08-17,7.24,7.3,7.3,7.01,21.87K,-0.82,other,ARTES
2023-08-16,7.3,7.29,7.3,7.25,10.88K,0.0,other,ARTES
2023-08-15,7.3,7.35,7.35,7.2,8.80K,-0.68,other,ARTES
2023-08-14,7.35,7.35,7.39,7.35,4.32K,-0.68,other,ARTES
2023-08-11,7.4,7.4,7.4,7.3,24.78K,0.0,other,ARTES
